	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
43	43	49436	111	0	0.14	300	3.5905	3.61	3.624	0.1666	0.1679	0.1654	0.5628	0.7275	0.7153	0.8871	0.8642	0.8642	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
44	44	62566	242	0	0.37	300	3.5959	3.6057	3.6198	0.1695	0.1679	0.1654	0.6485	0.7667	0.7577	0.8677	0.8539	0.8564	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
45	45	79184	107	0	0.35	300	3.5932	3.6076	3.6199	0.1738	0.1679	0.1654	0.648	0.7677	0.7518	0.8681	0.8547	0.8568	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
46	46	100217	150	0	0.11	300	3.5876	3.6064	3.6195	0.1765	0.1679	0.1654	0.5651	0.6887	0.6709	0.8842	0.8681	0.8697	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
47	47	126835	38	2	0.41	300	3.5935	3.6051	3.6182	0.1758	0.1679	0.1654	0.6916	0.7787	0.7691	0.8545	0.8442	0.845	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
48	48	160524	248	2	0.23	300	3.6035	3.6	3.6167	0.1731	0.1679	0.1654	0.3515	0.4285	0.4144	0.9108	0.8964	0.9006	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
49	49	203160	670	1	0.29	300	3.6068	3.5998	3.6198	0.1707	0.1679	0.1654	0.3679	0.4277	0.4138	0.9087	0.8969	0.9009	fast	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
0	0	1	776	0	0.09	272	3.4594	4.0004	3.9958	1.0	0.0752	0.0831	0.0037	4.1897	4.1819	1.0	0.0906	0.0911	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
1	1	2	433	2	0.27	145	3.5025	3.9713	3.966	0.5	0.0752	0.0831	0.0	6.2689	6.2139	1.0	0.1053	0.1078	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
2	2	3	310	1	0.38	182	3.2676	3.982	3.9733	0.6667	0.0752	0.0831	0.0005	4.19	4.1594	1.0	0.1186	0.1285	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
3	3	4	300	1	0.42	205	3.1699	3.9714	3.9623	0.5	0.0752	0.0831	0.001	4.4176	4.3998	1.0	0.0912	0.0927	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
4	4	5	1009	2	0.39	134	3.2925	3.9692	3.9623	0.4	0.0752	0.0831	0.0	12.6959	12.6009	1.0	0.1101	0.1117	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
5	5	6	657	2	0.41	245	3.3863	3.9095	3.904	0.3333	0.0752	0.0831	0.0	6.7744	6.7429	1.0	0.1413	0.1382	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
6	6	8	455	2	0.23	133	3.3568	3.8946	3.8892	0.375	0.0752	0.0831	0.0001	6.6231	6.6138	1.0	0.0752	0.0817	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
7	7	10	103	2	0.09	108	3.1132	3.9285	3.9193	0.5	0.0752	0.0831	0.0033	4.5903	4.5734	1.0	0.0968	0.1016	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
8	8	13	203	2	0.14	93	2.9461	3.9414	3.93	0.4615	0.0752	0.0831	0.0012	6.1506	6.142	1.0	0.1101	0.1176	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
9	9	16	150	1	0.31	212	3.1675	3.8732	3.8626	0.375	0.0752	0.0831	0.0057	3.843	3.8262	1.0	0.167	0.1739	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
10	10	21	72	0	0.15	103	3.2129	3.8286	3.8192	0.2857	0.0752	0.0831	0.3776	3.8947	3.8911	1.0	0.1521	0.1569	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
11	11	26	467	2	0.27	113	3.1497	3.8512	3.8402	0.2692	0.0752	0.0831	0.0003	6.7556	6.7483	1.0	0.1921	0.1976	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
12	12	33	377	2	0.5	99	3.1121	3.8367	3.8278	0.2121	0.0752	0.0831	0.0087	5.3723	5.3506	1.0	0.2358	0.2375	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
13	13	42	436	0	0.44	148	3.2689	3.7583	3.7548	0.1905	0.1679	0.1654	0.4935	3.5081	3.5075	1.0	0.2788	0.2757	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
14	14	53	382	0	0.1	165	3.3205	3.7439	3.7433	0.1887	0.1679	0.1654	0.3284	3.5899	3.5987	1.0	0.2817	0.2792	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
15	15	68	326	2	0.5	60	3.4352	3.7196	3.7162	0.1618	0.1679	0.1654	0.3306	3.6167	3.6254	1.0	0.308	0.3102	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
16	16	85	326	2	0.49	84	3.3949	3.7616	3.7535	0.1529	0.0809	0.0809	0.1283	3.8286	3.8423	0.9882	0.3205	0.3187	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
17	17	108	247	2	0.44	238	3.4337	3.7425	3.737	0.1667	0.0752	0.0831	0.0519	3.6638	3.6526	0.9815	0.3451	0.3409	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
18	18	137	179	2	0.05	122	3.435	3.7201	3.7186	0.146	0.1679	0.1654	0.0369	4.1001	4.0672	0.9854	0.3484	0.3489	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
19	19	173	137	2	0.02	144	3.463	3.7018	3.7041	0.1618	0.1679	0.1654	0.0636	3.7151	3.69	0.9827	0.3822	0.3837	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
20	20	219	786	2	0.23	79	3.4974	3.672	3.6779	0.1553	0.1679	0.1654	0.0485	4.4189	4.3881	0.9863	0.4261	0.4264	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
21	21	278	410	1	0.31	159	3.4853	3.6824	3.6886	0.1655	0.1679	0.1654	0.0712	3.0911	3.112	0.9892	0.4456	0.4429	random	mlp	english	203160	24958	3.607197762486216	0.2602912903772637	16
