	run	ndata	hidden_size	nlayers	dropout	embedding_size	train_loss	dev_loss	test_loss	train_acc	dev_acc	test_acc	base_train_loss	base_dev_loss	base_test_loss	base_train_acc	base_dev_acc	base_test_acc	representation	model	language	n_train	n_test	entropy	entropy_conditional	n_classes
0	0	1	776	0	0.09	272	5.015	5.5224	5.5219	1.0	0.1325	0.1333	0.0002	5.9027	5.8812	1.0	0.0306	0.0333	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
1	1	2	433	2	0.27	145	5.0297	5.5319	5.5304	0.5	0.0092	0.0109	0.0	6.4374	6.4595	1.0	0.0826	0.0848	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
2	2	3	310	1	0.38	182	4.7677	5.4915	5.4897	0.6667	0.1325	0.1333	0.0002	5.6052	5.6007	1.0	0.0795	0.082	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
3	3	4	300	1	0.42	205	4.8514	5.4744	5.4744	0.5	0.1325	0.1333	0.0002	5.4199	5.4089	1.0	0.1103	0.1112	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
4	4	5	1009	2	0.39	134	4.9072	5.4385	5.4386	0.4	0.1325	0.1333	0.0	11.4619	11.4636	1.0	0.078	0.0799	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
5	5	6	657	2	0.41	245	4.9491	5.4467	5.4476	0.3333	0.1325	0.1333	0.0	7.2428	7.2623	1.0	0.107	0.1051	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
6	6	8	455	2	0.23	133	4.908	5.4397	5.4411	0.25	0.0092	0.0109	0.0	7.5733	7.5662	1.0	0.0885	0.0899	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
7	7	10	103	2	0.09	108	4.7008	5.4216	5.4221	0.3	0.0092	0.0109	0.0021	5.5473	5.5552	1.0	0.0613	0.061	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
8	8	13	203	2	0.14	93	4.5678	5.3785	5.378	0.3077	0.0092	0.0109	0.001	5.9234	5.9292	1.0	0.1113	0.1118	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
9	9	16	150	1	0.31	212	4.6705	5.3296	5.3292	0.25	0.0092	0.0109	0.0023	4.9909	4.9931	1.0	0.1211	0.1239	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
10	10	21	72	0	0.15	103	4.6939	5.2563	5.2569	0.1905	0.0092	0.0109	0.0993	5.3049	5.2928	1.0	0.1387	0.1404	random	mlp	english	191445	23019	4.481868174637928	1.0049512672380234	48
